lon,lat,mag,day,month,year,depth
141.4900055,38.54000092,5.781058311,8,6,1977,30
113.0800018,-5.880000114,5.638338089,8,6,1977,30
101.4899979,-3.099999905,5.556379318,10,6,1977,30
-174.0599976,-18.53000069,5.722031593,13,6,1977,30
124.6500015,13.31000042,5.929544926,13,6,1977,30
-14.43000031,-14.11999989,5.806373119,14,6,1977,30
-179.1000061,-19.87999916,6.180711746,17,6,1977,30
145.6900024,19.04000092,5.302052498,17,6,1977,30
-68.44999695,-20.88999939,5.804572105,18,6,1977,30
159.6699982,-9.770000458,6.069413185,18,6,1977,30
124.9300003,4.650000095,5.897962093,19,6,1977,30
151.0899963,47.15000153,5.805023193,19,6,1977,30
-175.8999939,-22.87999916,8.028676987,22,6,1977,30
-175.9400024,-22.88999939,5.723230362,24,6,1977,30
102.2300034,-4.599999905,5.189863682,25,6,1977,30
-179.2400055,-21.31999969,5.505290031,25,6,1977,30
-175.4700012,-22.70000076,5.328948021,26,6,1977,30
14.71000004,38.63000107,5.271831989,28,6,1977,30
-45.11999893,22.55999947,5.668762684,28,6,1977,30
-45.13999939,22.64999962,5.785916328,28,6,1977,30
-45.11000061,22.62000084,5.911074162,28,6,1977,30
127.6500015,-7.599999905,6.164235115,29,6,1977,30
-69.52999878,-19.39999962,5.690991879,30,6,1977,30
160.5399933,-9.949999809,6.098649025,2,7,1977,30
-70.79000092,-25.87000084,5.618420124,2,7,1977,30
126.4400024,1.440000057,6.2655406,3,7,1977,30
-118.5100021,-52.93999863,5.473086834,4,7,1977,30
-82.65000153,5.28000021,5.893013,6,7,1977,30
-178.5700073,-21.06999969,6.179477215,6,7,1977,30
39.63000107,10.93999958,5.321856976,8,7,1977,30
154.5800018,-5.809999943,5.515274525,8,7,1977,30
-175.1000061,-22.45999908,5.212020397,9,7,1977,30
49.68000031,-37.93000031,5.272399902,10,7,1977,30
-27.55999947,-56.11999893,6.030545235,10,7,1977,30
168.4100037,-19.12999916,5.772607803,10,7,1977,30
-179.2899933,-21.81999969,5.73495388,10,7,1977,30
-179.25,-21.92000008,5.81651783,10,7,1977,30
131.0500031,-6.300000191,5.447894573,10,7,1977,30
176.3099976,51.40999985,5.376235008,11,7,1977,30
134.9600067,0.50999999,5.492304325,11,7,1977,30
67.44999695,29.87999916,5.529634476,13,7,1977,30
63.68000031,40.31999969,5.328948021,14,7,1977,30
122.2099991,24.04999924,5.822098255,15,7,1977,30
-112.3000031,-29.38999939,5.720827579,15,7,1977,30
168.2200012,-62.88999939,5.376235008,17,7,1977,30
-161.6000061,54.61000061,5.250594139,20,7,1977,30
147.5700073,-5.849999905,5.457038403,21,7,1977,30
158.6000061,-53.86000061,6.86179781,21,7,1977,30
122.3600006,16.87999916,6.844903946,21,7,1977,30
-179.7200012,-33.79999924,6.058347225,22,7,1977,30
83.38999939,42.20000076,5.399104595,23,7,1977,30
-173.1499939,-15.34000015,6.364269257,24,7,1977,30
144.7200012,19.5,5.893013,24,7,1977,30
-14.03999996,-1.149999976,5.886619568,28,7,1977,30
-128.9700012,44.24000168,5.74732399,28,7,1977,30
75.16999817,38.18999863,5.159652233,29,7,1977,30
155.5399933,-8.029999733,7.134269238,29,7,1977,30
169.6199951,-20.48999977,5.68422699,1,8,1977,30
-178.2100067,-20.04000092,5.261407852,1,8,1977,30
-27.79000092,-56.00999832,5.940199852,4,8,1977,30
155.8300018,-7.079999924,5.462977409,6,8,1977,30
166.3000031,-12.36999989,5.748970509,7,8,1977,30
-82.75,8.550000191,5.97530508,7,8,1977,30
-77.77999878,6.929999828,5.370223999,8,8,1977,30
161.3300018,-10.56999969,5.705340862,8,8,1977,30
-179.3899994,-23.80999947,5.285442829,8,8,1977,30
107.6399994,-8.170000076,5.282990456,10,8,1977,30
-178.4499969,-20.72999954,5.88008213,10,8,1977,30
-174.3699951,-17.55999947,6.715457439,11,8,1977,30
155.0099945,-6.53000021,5.741204739,12,8,1977,30
148.2799988,-9.239999771,5.312123775,12,8,1977,30
-62.36999893,10.97000027,5.674482346,14,8,1977,30
107.5699997,-7.760000229,6.06577158,14,8,1977,30
16.97999954,38.84999847,5.209209442,15,8,1977,30
42.84999847,-40.86999893,5.202060223,17,8,1977,30
23.39999962,35.22999954,5.679395676,18,8,1977,30
153.7100067,46.63000107,5.659221172,18,8,1977,30
118.3899994,-11.14999962,5.746221066,19,8,1977,30
118.4599991,-11.07999992,8.303396225,19,8,1977,30
119.1500015,-10.93000031,5.876933098,19,8,1977,30
119.2300034,-10.89000034,5.809942245,19,8,1977,30
-86.84999847,16.61000061,6.06577158,20,8,1977,30
-86.61000061,16.70000076,6.320616722,20,8,1977,30
119.1299973,-11.10999966,6.287652493,20,8,1977,30
119.1399994,-11.03999996,6.587879181,20,8,1977,30
119.0100021,-11.15999985,5.722631454,21,8,1977,30
141.1199951,35.24000168,5.546637058,21,8,1977,30
-177.9100037,-29.96999931,5.205298901,21,8,1977,30
119.2200012,-10.85999966,5.573931694,21,8,1977,30
-68.23000336,-21.31999969,5.385984421,23,8,1977,30
117.6600037,-11.39000034,5.464443684,23,8,1977,30
118.2200012,-11.32999992,5.208148003,23,8,1977,30
-177.3399963,-14.94999981,5.493629456,25,8,1977,30
119.2699966,-10.73999977,6.304201603,25,8,1977,30
119.3000031,-10.67000008,6.007059574,26,8,1977,30
-20.51000023,-59.43000031,7.179096222,26,8,1977,30
125.3000031,-8.06000042,7.028309822,27,8,1977,30
8.210000038,38.20999908,5.436848164,28,8,1977,30
-177.1499939,-29.05999947,5.797716141,28,8,1977,30
146.2299957,-1.080000043,5.827990055,28,8,1977,30
-21.29999924,-59.5,5.765458584,29,8,1977,30
119.8700027,17.44000053,6.280758858,29,8,1977,30
-173.7899933,51.38000107,5.4336133,30,8,1977,30
