lon,lat,M,time_string,depth,catalog_id,event_id
-117.50217,35.668835,3.52,2019-07-08T17:50:01.350000,0.89,-1,
-117.854836,36.054832,2.87,2019-07-08T17:50:48.550000,1.44,-1,
-117.31067,35.554,3.81,2019-07-08T17:53:47.190000,7.36,-1,
-117.564,35.740166,3.04,2019-07-08T18:03:54.630000,3.04,-1,
-117.494835,35.6715,3.03,2019-07-08T18:10:19.670000,1.73,-1,
-117.68833,35.916668,2.94,2019-07-08T18:20:57.690000,2.45,-1,
-117.68667,35.921333,2.93,2019-07-08T18:21:27.210000,2.51,-1,
-117.73333,35.93133,3.2,2019-07-08T19:45:21.990000,7.71,-1,
-117.850334,36.052834,2.77,2019-07-08T19:47:56.620000,1.86,-1,
-117.58767,35.771,2.72,2019-07-08T20:29:54.850000,3.31,-1,
-117.736664,35.912,2.62,2019-07-08T20:42:15.650000,2.38,-1,
-117.3995,35.595833,2.81,2019-07-08T20:49:34.030000,0.17,-1,
-117.6975,35.911335,2.66,2019-07-08T21:05:58.700000,2.29,-1,
-117.63966,35.813168,2.62,2019-07-08T21:33:37,4.12,-1,
-117.44967,35.646,2.89,2019-07-08T21:48:53.380000,2.73,-1,
-117.31133,35.929,3.15,2019-07-08T22:18:49.280000,6.05,-1,
-117.43317,35.627335,2.74,2019-07-08T22:25:39.700000,4.51,-1,
-117.695335,35.890335,2.67,2019-07-08T22:36:23.760000,4.43,-1,
-117.5835,35.623333,3.1,2019-07-08T22:57:35.280000,11.06,-1,
-117.84717,36.0485,3.46,2019-07-08T22:57:40.970000,1.67,-1,
-117.43017,35.62467,3.15,2019-07-08T23:23:41.620000,3.77,-1,
-117.69867,35.8545,2.63,2019-07-08T23:50:58.960000,4.41,-1,
-117.513,35.680668,3.31,2019-07-09T00:00:01.040000,5.73,-1,
-117.477165,35.661667,2.78,2019-07-09T00:20:18.820000,3.07,-1,
-117.694,35.863,3.2,2019-07-09T00:57:30.760000,7.84,-1,
-117.35883,35.53367,2.53,2019-07-09T01:21:10.440000,3.66,-1,
-117.833336,36.110332,2.65,2019-07-09T01:28:26.360000,2.55,-1,
-117.443,35.643166,2.54,2019-07-09T01:41:58.120000,4.57,-1,
-117.45966,35.921665,3.56,2019-07-09T04:02:54.100000,7.1,-1,
-117.55033,35.710835,2.92,2019-07-09T04:32:11.350000,4.26,-1,
-117.607834,35.769833,2.57,2019-07-09T05:17:45.870000,7.6,-1,
-117.73233,35.90217,2.67,2019-07-09T05:25:13.850000,3.36,-1,
-117.538,35.683666,3.0,2019-07-09T05:28:15.830000,9.75,-1,
-117.69583,35.929333,2.79,2019-07-09T05:45:15.740000,2.03,-1,
-117.46333,35.7115,2.8,2019-07-09T05:53:46.230000,15.45,-1,
-117.83217,36.11183,2.84,2019-07-09T05:54:04.480000,2.17,-1,
-117.51017,35.651,2.55,2019-07-09T06:05:48.630000,2.37,-1,
-117.687,35.897167,3.01,2019-07-09T06:24:10.860000,1.9,-1,
-117.506836,35.713833,2.68,2019-07-09T06:36:26.430000,0.33,-1,
-117.69,35.857834,2.59,2019-07-09T06:40:27.580000,5.68,-1,
-117.3202,39.8419,2.7,2019-07-09T06:50:33.237000,2.2,-1,
-117.6995,35.87467,2.53,2019-07-09T07:01:00.460000,2.15,-1,
-117.673164,35.900333,3.17,2019-07-09T07:04:16.320000,8.07,-1,
-117.573,35.737667,2.83,2019-07-09T07:54:06.210000,1.95,-1,
-117.68433,35.896168,2.52,2019-07-09T07:54:44.420000,4.29,-1,
-117.6135,35.780666,3.58,2019-07-09T08:17:31.640000,7.73,-1,
-117.670166,35.847,2.96,2019-07-09T08:18:08.340000,3.19,-1,
-117.869835,36.026165,3.15,2019-07-09T08:23:46.920000,1.46,-1,
-117.53167,35.671665,2.86,2019-07-09T08:49:58.600000,7.41,-1,
-117.545166,35.6625,3.11,2019-07-09T09:11:15.480000,7.98,-1,
-117.68733,35.877834,3.16,2019-07-09T09:22:32.010000,2.66,-1,
-117.556,35.684166,2.57,2019-07-09T09:23:16.180000,8.57,-1,
-117.502,35.666832,2.63,2019-07-09T09:31:02.070000,3.53,-1,
-117.498665,35.719833,2.71,2019-07-09T10:20:41.300000,0.64,-1,
-117.67783,35.956,3.54,2019-07-09T10:21:52.290000,0.76,-1,
-117.54117,35.683666,3.0,2019-07-09T10:41:31.890000,4.58,-1,
-117.56917,35.75,2.65,2019-07-09T10:50:46.860000,7.93,-1,
-117.385666,35.980167,2.56,2019-07-09T11:39:24.420000,2.68,-1,
-117.64733,35.820168,2.73,2019-07-09T11:56:42.040000,2.95,-1,
-117.699,35.866165,2.6,2019-07-09T12:17:36.970000,4.26,-1,
-117.4845,35.674168,3.47,2019-07-09T12:58:21.670000,2.11,-1,
-117.385666,35.545334,3.22,2019-07-09T13:28:47.730000,-0.04,-1,
-117.52883,35.69367,2.77,2019-07-09T14:18:33.350000,6.92,-1,
-117.7025,35.950832,2.57,2019-07-09T14:20:57.200000,3.52,-1,
-117.54017,35.658833,2.8,2019-07-09T15:09:27.080000,9.01,-1,
-117.73583,35.924168,2.9,2019-07-09T15:10:59.020000,8.68,-1,
-117.6905,35.953335,2.67,2019-07-09T15:23:21.020000,3.25,-1,
-117.3615,35.572834,3.49,2019-07-09T15:40:45.400000,1.82,-1,
-117.709335,35.892166,3.46,2019-07-09T16:47:03.150000,7.02,-1,
-117.492836,35.700832,3.55,2019-07-09T17:11:28.690000,8.64,-1,
-117.48534,35.656,2.56,2019-07-09T17:44:07.050000,1.27,-1,
-117.548164,35.727833,3.47,2019-07-09T18:37:37.410000,9.11,-1,
-117.6885,35.921165,3.0,2019-07-09T18:41:16.060000,6.15,-1,
-117.496666,35.681835,2.52,2019-07-09T19:44:26.860000,4.83,-1,
-117.71817,35.90167,3.12,2019-07-09T19:49:50.570000,2.3,-1,
-117.84634,36.0865,2.57,2019-07-09T19:51:22.740000,1.28,-1,
-117.56683,35.677166,2.59,2019-07-09T19:56:50.420000,0.27,-1,
-117.677666,35.963665,2.69,2019-07-09T20:04:08.200000,1.99,-1,
-117.547165,35.665833,2.61,2019-07-09T20:59:19.320000,2.89,-1,
-117.62783,35.81167,2.88,2019-07-09T21:35:07.660000,1.63,-1,
-117.727165,35.893833,3.25,2019-07-09T21:35:39.250000,7.66,-1,
-117.86567,36.212166,2.78,2019-07-09T21:47:46.110000,1.72,-1,
-117.7015,35.886333,3.33,2019-07-09T21:52:49.350000,4.97,-1,
-117.73167,35.923832,2.52,2019-07-09T22:44:59.640000,1.91,-1,
-117.703835,35.863667,2.67,2019-07-09T22:54:02.910000,4.44,-1,
-117.65517,35.888832,2.84,2019-07-09T23:04:57.670000,2.7,-1,
-117.71716,35.889,2.54,2019-07-09T23:12:06.170000,4.94,-1,
-117.705666,35.919167,2.7,2019-07-09T23:16:01.140000,-0.12,-1,
-117.7245,35.889,2.73,2019-07-09T23:16:01.960000,3.16,-1,
-117.7155,35.910667,2.7,2019-07-09T23:22:16.710000,2.02,-1,
-117.844666,36.055332,2.6,2019-07-09T23:44:07.240000,1.18,-1,
-117.58517,35.765835,2.52,2019-07-09T23:47:30.220000,3.15,-1,
-117.5735,35.720833,2.71,2019-07-09T23:52:13.350000,8.72,-1,
-117.67633,35.8775,2.66,2019-07-10T00:21:22.480000,2.73,-1,
-117.852165,36.063667,2.5,2019-07-10T00:24:18.250000,-0.21,-1,
-117.523834,35.682167,2.52,2019-07-10T00:37:51.460000,8.47,-1,
-117.847,36.057835,4.07,2019-07-10T00:48:17.570000,1.74,-1,
