"ev_id","date","time_orig","time_orig_decimals","lat_orig","long_orig","depth","Mb","Ms","region","source_type","bwave_n_stations","bwave_n_inv","bwave_cutoff","mwave_n_stations","mwave_n_inv","mwave_cutoff","swave_n_stations","swave_n_inv","swave_cutoff","dcouple","centroid_time","delta_centroid_time","centroid_lat","delta_centroid_lat","centroid_long","delta_centroid_long","centroid_depth","delta_centroid_depth","prof","half_dur","inv_date_string","exp","mrr","delta_mrr","mss","delta_mss","mee","delta_mee","mrs","delta_mrs","mre","delta_mre","mse","delta_mse","eigen_t","plunge_t","strike_t","eigen_n","plunge_n","strike_n","eigen_p","plunge_p","strike_p","scalar_moment","strike1","dip1","rake1","strike2","dip2","rake2","Mw","status_flag","quality_flag"
"S201004261026A","2010-04-26","10:26:51","2","34.94","26.50","10.00","4.4","0.0","CRETE GREECE","ING","0","0","0","0","0","0","6","6","30","1","2.3","1.8","34.92","0.10","26.52","0.10","34.100","5.800","0","1.0","D-S201004261026A","22","-5.360","2.340","1.370","1.480","3.990","1.420","1.260","0.600","-2.160","0.840","-1.460","1.960","5.230","13","65","0.730","2","335","-5.950","77","236","5.590","158","32","-86","333","58","-92","4.4","D","A"
"S201004281635A","2010-04-28","16:35:08","0","36.30","27.67","15.00","4.4","0.0","DODECANESE ISLANDS GREE","ING","0","0","0","0","0","0","15","18","35","1","-0.9","0.9","36.04","0.05","27.70","0.06","12.000","0.000","0","1.0","D-S201004281635A","22","-2.810","0.240","2.590","0.200","0.220","0.160","-0.430","0.500","-1.640","0.590","0.920","0.170","3.080","10","156","0.450","21","63","-3.530","66","271","3.300","270","39","-56","49","58","-115","4.3","D","A"
"C201005141229A","2010-05-14","12:29:22","2","35.90","4.12","10.00","5.2","0.0","ALGERIA		 ","Nei","0","0","0","4","6","40","47","75","35","1","1.8","0.4","35.92","0.02","4.07","0.02","12.000","0.000","0","1.2","D-C201005141229A","24","0.190","0.030","0.300","0.030","-0.490","0.030","-0.360","0.090","-0.440","0.070","-1.300","0.020","1.270","2","216","0.370","72","121","-1.630","17","307","1.450","350","77","-11","83","79","-166","5.4","D","A"
"S201005142343A","2010-05-14","23:43:25","8","35.97","4.00","15.00","4.5","0.0","NORTHERN ALGERIA	 ","ING","0","0","0","0","0","0","5","6","30","1","-5.8","1.2","35.97","0.00","4.00","0.00","15.000","0.000","0","1.0","D-S201005142343A","22","0.120","0.370","0.990","0.280","-1.110","0.230","-0.220","0.720","-0.040","0.470","-1.080","0.290","1.470","8","203","0.110","81","50","-1.570","4","293","1.520","338","82","3","248","87","172","4.1","D","A"
"C201005160652A","2010-05-16","06:52:41","0","35.84","4.05","2.00","5.0","0.0","NORTHERN ALGERIA	 ","ING","0","0","0","1","1","40","20","34","35","1","1.9","1.1","35.89","0.04","4.01","0.05","10.000","0.000","0","1.3","D-C201005160652A","23","4.260","0.140","-1.310","0.120","-2.950","0.120","-1.000","0.370","-1.390","0.430","-3.000","0.120","4.560","80","123","0.980","1","217","-5.540","10","307","5.050","38","35","91","217","55","89","5.1","D","A"
"S201005231328A","2010-05-23","13:28:17","7","35.86","4.10","10.00","5.0","0.0","NORTHERN ALGERIA	 ","ING","0","0","0","0","0","0","10","23","35","1","0.7","0.8","35.89","0.04","4.12","0.02","10.000","0.000","0","1.3","D-S201005231328A","23","1.150","0.210","-3.040","0.160","1.890","0.200","-1.780","0.540","-0.240","0.590","-4.720","0.150","4.900","12","237","1.370","73","106","-6.270","13","330","5.580","13","73","-1","103","89","-163","5.1","D","A"
"S201006041844A","2010-06-04","18:44:53","0","42.37","16.59","15.00","3.9","0.0","ADRIATIC SEA	     ","ING","0","0","0","0","0","0","17","22","30","1","2.2","0.3","42.34","0.02","16.67","0.05","12.000","0.000","0","1.0","D-S201006041844A","22","3.090","0.140","-2.880","0.120","-0.210","0.130","-0.290","0.400","1.350","0.380","-0.500","0.100","3.600","70","259","-0.640","20","80","-2.970","1","350","3.290","61","48","62","279","49","117","4.3","D","A"
"S201006061221A","2010-06-06","12:21:00","3","35.41","24.75","68.00","4.5","0.0","CRETE GREECE	     ","ING","0","0","0","0","0","0","13","15","30","1","4.3","1.1","35.59","0.05","24.88","0.04","42.900","1.800","0","1.0","D-S201006061221A","23","0.520","0.090","0.200","0.060","-0.720","0.050","-0.340","0.020","-0.050","0.030","-0.410","0.110","0.760","53","193","0.140","36","28","-0.900","7","292","0.830","349","49","39","231","62","132","4.5","D","A"
"C201006070926A","2010-06-07","09:26:51","7","42.67","41.55","2.00","4.5","0.0","NORTHWESTERN CAUCASUS    ","ING","0","0","0","1","1","40","8","8","35","1","4.1","0.5","42.67","0.00","41.55","0.00","19.700","1.600","0","1.0","D-C201006070926A","22","4.070","0.780","-2.960","0.710","-1.110","0.350","1.120","0.470","-1.080","0.390","0.870","0.590","4.410","78","53","-0.830","6","295","-3.580","11","204","3.990","286","35","80","119","56","97","4.3","D","A"
"S201006081516A","2010-06-08","15:16:10","3","45.57","26.42","110.00","4.5","0.0","ROMANIA		     ","ING","0","0","0","0","0","0","13","13","30","1","1.8","0.5","45.72","0.08","26.73","0.09","98.500","11.700","0","1.0","D-S201006081516A","22","2.670","0.390","-1.870","0.820","-0.800","0.770","1.060","0.390","-1.150","0.310","-1.570","0.730","3.450","64","51","-0.450","26","237","-3.000","2","145","3.220","211","49","54","79","53","124","4.3","D","B"
